category,order_date,orders_count,rolling_mean_30,rolling_std_30,z_score
signaling_and_security,2018-07-15,4,1.3666666666666667,0.718395402284138,3.6655765403852123
small_appliances,2017-11-24,5,1.5,1.042212500669477,3.3582402799349804
small_appliances,2018-04-07,5,1.7333333333333334,1.0806553992619585,3.0228569337622893
sports_leisure,2017-02-07,15,3.6333333333333333,3.045441288824686,3.732354555110585
sports_leisure,2017-11-24,78,14.633333333333333,12.496850177857466,5.070611055171554
sports_leisure,2018-02-28,37,20.8,5.16219680582493,3.1381988345969707
stationery,2017-03-28,6,2.1,1.213430588498348,3.2140280927204508
stationery,2017-07-05,6,1.9666666666666666,1.2452207485597393,3.2390508574470918
stationery,2017-11-13,10,3.6666666666666665,2.1063669217862775,3.006756927213057
stationery,2017-11-24,15,4.533333333333333,2.861556525236996,3.6576830037630694
stationery,2018-07-13,13,3.933333333333333,2.7409202246984394,3.307891482928583
stationery,2018-08-07,19,6.8,3.827306606749573,3.1876202388606454
tablets_printing_image,2017-11-24,3,1.0666666666666667,0.3651483716701107,5.2946513892166065
tablets_printing_image,2018-02-18,3,1.2,0.5508613944197479,3.267609635080776
telephony,2017-03-11,9,3.6666666666666665,1.7681732894739688,3.016295611455594
telephony,2017-03-22,11,3.933333333333333,2.1803722132942682,3.2410368392971867
telephony,2017-05-01,14,4.933333333333334,2.9819379643092017,3.0405282655727746
telephony,2017-11-24,73,9.0,12.367922915404154,5.174676494812923
toys,2017-07-12,12,5.066666666666666,2.303420744552932,3.0100160162788736
toys,2017-10-03,28,9.966666666666667,5.156069963767402,3.4974958563511924
toys,2017-11-20,17,7.6,2.978080844644983,3.156395172045967
toys,2017-11-23,22,8.366666666666667,4.021351062493312,3.39023704259245
toys,2017-11-24,65,10.333333333333334,11.071346469317909,4.937671024763315
toys,2018-03-11,15,5.233333333333333,3.002106540108261,3.2532711734855564
toys,2018-08-06,14,5.133333333333334,2.6875618143118154,3.299148923552142
unknown,2017-05-29,7,2.8,1.399507302465826,3.001056152118619
unknown,2017-07-17,5,1.7333333333333334,0.9802650357071225,3.332432095071338
unknown,2017-07-23,5,1.8,1.063501049721448,3.0089297992118986
unknown,2017-08-30,6,2.2333333333333334,1.2228664272317626,3.080194682581463
unknown,2017-12-27,13,4.866666666666666,2.7003618318641123,3.0119420432330486
watches_gifts,2017-02-28,5,1.4666666666666666,0.8995528902176073,3.927877250751313
watches_gifts,2017-05-24,12,3.966666666666667,2.4138013136149366,3.3280839181011634
watches_gifts,2017-10-16,21,8.633333333333333,3.8370546654624422,3.2229581657983064
watches_gifts,2017-11-24,68,12.766666666666667,11.245484406650956,4.91160107791057
watches_gifts,2018-04-26,34,14.233333333333333,6.377132278066204,3.0996168504537733
