product_id,category,total_orders,total_revenue,active_months,seasonality_score,peak_to_mean,peak_month,peak_quarter,peak_quarter_share,confidence_level
d4257bb9c6abde06be66858be5e4e6e7,office_furniture,1,116.99,1,3.3166247903554,12.0,10,4,1.0,low
d425f8ccf937bdc4c55eb96ef872d812,fashion_bags_accessories,1,24.9,1,3.3166247903554,12.0,3,1,1.0,low
710e89a75e7f980a83c21d9f884ae13a,watches_gifts,1,149.0,1,3.3166247903554,12.0,6,2,1.0,low
d4388109703f2b2278192c39946dcbee,sports_leisure,1,109.0,1,3.3166247903554,12.0,12,4,1.0,low
d43c65f300c5cfaae005f1f954fc0b15,housewares,2,157.8,1,3.3166247903554,12.0,11,4,1.0,low
d43e07c1d5416da3b79b74e7e8efc741,sports_leisure,1,29.9,1,3.3166247903554,12.0,12,4,1.0,low
d442e913f0c7f40f97261d76f4e943ef,furniture_decor,1,122.0,1,3.3166247903554,12.0,12,4,1.0,low
d44757bff9d0a479db38e2117eba931d,toys,1,125.99,1,3.3166247903554,12.0,9,3,1.0,low
70d57e1031cc2064017c1dadbb672a1b,bed_bath_table,1,64.9,1,3.3166247903554,12.0,12,4,1.0,low
70d7a4737a91965066483a5b0d26a19e,musical_instruments,1,749.9,1,3.3166247903554,12.0,8,3,1.0,low
70de339311bbfd116a461e25c9fb79ca,furniture_decor,2,195.8,1,3.3166247903554,12.0,2,1,1.0,low
70de7f927d3615d94199abf14387491f,fashion_bags_accessories,1,35.0,1,3.3166247903554,12.0,5,2,1.0,low
719b8a11c153b5a391bd4cd11f0dc273,auto,1,50.0,1,3.3166247903554,12.0,12,4,1.0,low
d42c1eec0891869c034f031ec9b81ecc,housewares,2,102.60000000000001,1,3.3166247903554,12.0,10,4,1.0,low
b038e05741e96f7a40a750921f95a7b7,health_beauty,1,52.99,1,3.3166247903554,12.0,12,4,1.0,low
afb83a05bfcf46258f04ce060671d5b4,fixed_telephony,1,39.0,1,3.3166247903554,12.0,5,2,1.0,low
afbb03a707e22e86468c550a1666def3,watches_gifts,1,169.9,1,3.3166247903554,12.0,5,2,1.0,low
afc244a6c3db6832df12a4b8b34f515c,sports_leisure,1,59.0,1,3.3166247903554,12.0,10,4,1.0,low
afc452fedac19a3553a1a356e5498e9e,computers_accessories,1,74.5,1,3.3166247903554,12.0,6,2,1.0,low
